"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Fauna","Aves","Tityridae","Schiffornis turdina intermedia","Flautim-marrom","expansão urbana"
"Flora","Angiospermas","Anacardiaceae","Schinopsis balansae","-","agropecuaria"
"Flora","Angiospermas","Anacardiaceae","Schinopsis balansae","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Poaceae","Schizachyrium scabriflorum","-","agropecuaria"
"Fauna","Invertebrados Terrestres","Carabidae","Schizogenius ocellatus","Besouro","especies exoticas"
"Fauna","Invertebrados Terrestres","Carabidae","Schizogenius ocellatus","Besouro","mudanças na dinamica das especies nativas"
"Fauna","Invertebrados Terrestres","Carabidae","Schizogenius ocellatus","Besouro","Turismo desordenado"
"Fauna","Invertebrados Terrestres","Carabidae","Schizogenius ocellatus","Besouro","poluiçao"
"Flora","Angiospermas","Asteraceae","Schlechtendalia luzulifolia","-","agropecuaria"
"Flora","Angiospermas","Cactaceae","Schlumbergera kautskyi","-","expansão urbana"
"Flora","Angiospermas","Cactaceae","Schlumbergera microsphaerica","-","queimadas"
"Flora","Angiospermas","Cactaceae","Schlumbergera opuntioides","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Cactaceae","Schlumbergera opuntioides","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Solanaceae","Schwenckia curviflora","-","vazio"
"Flora","Angiospermas","Solanaceae","Schwenckia nova-veneciana","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Peixes Marinhos","Ariidae","Sciades parkeri","Gurijuba","aquicultura"
"Fauna","Peixes Marinhos","Ariidae","Sciades parkeri","Gurijuba","expansão urbana"
"Fauna","Peixes Marinhos","Ariidae","Sciades parkeri","Gurijuba","caça/pesca/captura"
"Fauna","Anfíbios","Hylidae","Scinax alcatraz","Perereca-de-Alcatraz","queimadas"
"Fauna","Anfíbios","Hylidae","Scinax duartei","Desconhecido","transportes (terrestre/aereo/aquatico)"
"Fauna","Anfíbios","Hylidae","Scinax faivovichi","Desconhecido","queimadas"
"Fauna","Anfíbios","Hylidae","Scinax peixotoi","Desconhecido","ameaça desconhecida"
"Flora","Angiospermas","Cyperaceae","Scleria balansae","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Peixes Continentais","Callichthyidae","Scleromystax macropterus","Limpa-fundo","expansão urbana"
"Fauna","Peixes Continentais","Callichthyidae","Scleromystax macropterus","Limpa-fundo","poluiçao"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus caligineus","Vira-folha-pardo","agropecuaria"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus caligineus","Vira-folha-pardo","expansão urbana"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus umbretta","Vira-folha-pardo","agropecuaria"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus umbretta","Vira-folha-pardo","expansão urbana"
"Fauna","Aves","Scleruridae","Sclerurus cearensis","Vira-folhas-cearense","agropecuaria"
"Fauna","Aves","Scleruridae","Sclerurus cearensis","Vira-folhas-cearense","extracao florestal"
"Fauna","Aves","Scleruridae","Sclerurus macconnelli bahiae","Vira-folha-de-peito-vermelho","agropecuaria"
"Fauna","Aves","Scleruridae","Sclerurus macconnelli bahiae","Vira-folha-de-peito-vermelho","expansão urbana"
