"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Fauna","Invertebrados Terrestres","Scarabaeidae","Dichotomius mysticus","Besouro rola-bosta","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Scarabaeidae","Dichotomius schiffleri","Besouro rola-bosta","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Dicksoniaceae","Dicksonia sellowiana","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Lauraceae","Dicypellium caryophyllaceum","cravo-de-Maranhão","Sim","Não","Não","3","Informação não disponível"
"Flora","Angiospermas","Poaceae","Digitaria neesiana","capim-do-campo-limpo","Sim","Sim","Não","2","Não"
"Flora","Angiospermas","Bignoniaceae","Digomphia densicoma","kirpau","Sim","Não","Não","1","Não"
"Flora","Angiospermas","Asteraceae","Dimerostemma annuum","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Asteraceae","Dimerostemma episcopale","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Dimerostemma grazielae","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Asteraceae","Dimerostemma myrtifolium","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Fabaceae","Dimorphandra wilsonii","Faveiro-de-Wilson","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Formicidae","Dinoponera lucida","Formiga","Sim","Não","Não","1","Sim"
"Fauna","Aves","Diomedeidae","Diomedea dabbenena","Albatroz-de-tristão","Sim","Sim","Sim","3","Não"
"Fauna","Aves","Diomedeidae","Diomedea epomophora","Albatroz-real","Sim","Sim","Sim","3","Não"
"Fauna","Aves","Diomedeidae","Diomedea exulans","Albatroz-gigante","Sim","Sim","Sim","3","Não"
"Fauna","Aves","Diomedeidae","Diomedea sanfordi","Albatroz-real-do-norte","Sim","Sim","Sim","3","Não"
"Fauna","Invertebrados Aquáticos","Onuphidae","Diopatra cuprea","Desconhecido","Sim","Não","Não","2","Não"
"Fauna","Invertebrados Terrestres","Chelodesmidae","Dioplosternus salvatrix","Piolho-de-cobra","Não","Não","Não","0","Sim"
