"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Fauna","Aves","Scleruridae","Sclerurus cearensis","Vira-folhas-cearense","Caatinga"
"Fauna","Aves","Scleruridae","Sclerurus macconnelli bahiae","Vira-folha-de-peito-vermelho","Mata Atlântica"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus aureatus","Acari-da-pedra","Amazônia"
"Fauna","Peixes Continentais","Loricariidae","Scobinancistrus pariolispos","Acari-da-pedra","Amazônia"
"Fauna","Invertebrados Terrestres","Scolopendridae","Scolopendropsis duplicata","Lacraia, centopeia","Cerrado"
"Fauna","Peixes Marinhos","Scorpaenidae","Scorpaenodes insularis","Peixe-pedra-arco-iris ","Marinho"
"Flora","Angiospermas","Rhamnaceae","Scutia arenicola","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Scuticaria irwiniana","-","Cerrado"
"Flora","Angiospermas","Orchidaceae","Scuticaria itirapinensis","-","Cerrado"
"Flora","Angiospermas","Orchidaceae","Scuticaria kautskyi","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Scuticaria strictifolia","-","Mata Atlântica"
"Fauna","Aves","Rhinocryptidae","Scytalopus diamantinensis","Tapaculo-da-chapada-diamantina","Caatinga"
"Fauna","Aves","Rhinocryptidae","Scytalopus gonzagai","Macuquinho-preto-baiano","Mata Atlântica"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","Mata Atlântica"
"Fauna","Aves","Rhinocryptidae","Scytalopus iraiensis","Macuquinho-da-várzea","Pampa"
"Fauna","Aves","Rhinocryptidae","Scytalopus novacapitalis","Tapaculo-de-brasília","Cerrado"
"Flora","Pteridófitas","Selaginellaceae","Selaginella mendoncae","-","Mata Atlântica"
"Fauna","Aves","Ramphastidae","Selenidera gouldii baturitensis","Saripoca-de-gould","Caatinga"
"Flora","Angiospermas","Fabaceae","Sellocharis paradoxa","-","Pampa"
"Flora","Angiospermas","Gentianaceae","Senaea coerulea","-","Cerrado"
"Flora","Angiospermas","Gentianaceae","Senaea janeirensis","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio almasensis","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio caparaoensis","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio gertii","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio graciellae","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio hatschbachii","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio heteroschizus","-","Pampa"
"Flora","Angiospermas","Asteraceae","Senecio langei","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio promatensis","-","Pampa"
"Flora","Angiospermas","Asteraceae","Senecio ramboanus","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Senecio riograndensis","-","Pampa"
"Flora","Angiospermas","Sapindaceae","Serjania divaricocca","-","Mata Atlântica"
"Flora","Angiospermas","Sapindaceae","Serjania hatschbachii","-","Mata Atlântica"
"Fauna","Aves","Tyrannidae","Serpophaga hypoleuca pallida","Alegrinho-do-rio","Amazônia"
"Flora","Angiospermas","Poaceae","Setaria parviflora var. pilosissima","-","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Setaria stolonifera","-","Pampa"
"Flora","Angiospermas","Commelinaceae","Siderasis fuscata","-","Mata Atlântica"
"Flora","Angiospermas","Simaroubaceae","Simaba glabra","marupá do cerrado; mata-barata branco","Amazônia"
"Flora","Angiospermas","Simaroubaceae","Simaba glabra","marupá do cerrado; mata-barata branco","Cerrado"
"Flora","Angiospermas","Simaroubaceae","Simaba insignis","calunga; paraíba-mirim","Mata Atlântica"
"Flora","Angiospermas","Simaroubaceae","Simaba salubris","-","Cerrado"
"Flora","Angiospermas","Simaroubaceae","Simaba suaveolens","-","Cerrado"
"Flora","Angiospermas","Simaroubaceae","Simaba warmingiana","mata-barata","Cerrado"
"Flora","Angiospermas","Rubiaceae","Simira grazielae","Arariba","Mata Atlântica"
"Flora","Angiospermas","Rubiaceae","Simira hatschbachiorum","-","Mata Atlântica"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys boitonei","Peixe-anual","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys cholopteryx","Desconhecido","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys nigromaculatus","Peixe-da-chuva","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys parallelus","Peixe-anual","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys punctulatus","Peixe-anual","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys santanae","Peixe-anual","Cerrado"
"Fauna","Peixes Continentais","Rivulidae","Simpsonichthys zonatus","Peixe-anual","Cerrado"
"Flora","Angiospermas","Gesneriaceae","Sinningia aghensis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia araneosa","-","Cerrado"
"Flora","Angiospermas","Gesneriaceae","Sinningia carangolensis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia cardinalis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia cochlearis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia defoliata","-","Cerrado"
"Flora","Angiospermas","Gesneriaceae","Sinningia defoliata","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia glazioviana","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia guttata","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia harleyi","-","Caatinga"
"Flora","Angiospermas","Gesneriaceae","Sinningia hatschbachii","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia hirsuta","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia iarae","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia insularis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia kautskyi","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia lindleyi","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia lineata","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia micans","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia piresiana","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia rupicola","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia striata","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia tuberosa","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia valsuganensis","-","Mata Atlântica"
"Flora","Angiospermas","Gesneriaceae","Sinningia villosa","-","Mata Atlântica"
"Flora","Angiospermas","Myrtaceae","Siphoneugena kuhlmannii","-","Mata Atlântica"
"Flora","Angiospermas","Elaeocarpaceae","Sloanea obtusifolia","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Smallanthus araucariophilus","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Smallanthus riograndensis","-","Mata Atlântica"
"Flora","Angiospermas","Smilacaceae","Smilax lappacea","-","Cerrado"
"Flora","Angiospermas","Smilacaceae","Smilax lappacea","-","Mata Atlântica"
"Flora","Angiospermas","Smilacaceae","Smilax lutescens","Pitanga; Pitanga sem espinho","Mata Atlântica"
"Flora","Angiospermas","Smilacaceae","Smilax muscosa","Salsaparilha","Mata Atlântica"
"Flora","Angiospermas","Smilacaceae","Smilax spicata","-","Mata Atlântica"
"Flora","Angiospermas","Smilacaceae","Smilax subsessiliflora","Japecanga","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum arenarium","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum bahianum","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum graveolens","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum jabrense","-","Caatinga"
"Flora","Angiospermas","Solanaceae","Solanum jabrense","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum paralum","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum restingae","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum santosii","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum spissifolium","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum viscosissimum","-","Cerrado"
"Flora","Angiospermas","Solanaceae","Solanum viscosissimum","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Solanum warmingii","-","Mata Atlântica"
"Fauna","Mamíferos","Delphinidae","Sotalia guianensis","Boto-cinza","Marinho"
"Flora","Briófitas","Arnelliaceae","Southbya organensis","-","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Escadabiidae","Spaeleoleptes spaeleus","Opilião","Cerrado"
"Flora","Angiospermas","Bignoniaceae","Sparattosperma catingae","-","Caatinga"
"Fauna","Peixes Marinhos","Labridae","Sparisoma axillare","Peixe-papagaio-cinza","Marinho"
"Fauna","Peixes Marinhos","Labridae","Sparisoma frondosum","Peixe-papagaio-cinza","Marinho"
"Fauna","Peixes Marinhos","Labridae","Sparisoma rocha","Bodião-de-trindade","Marinho"
"Flora","Angiospermas","Orchidaceae","Specklinia gomesferreirae","-","Mata Atlântica"
"Fauna","Peixes Continentais","Rivulidae","Spectrolebias reticulatus","Desconhecido","Amazônia"
"Fauna","Invertebrados Terrestres","Bochicidae","Spelaeobochica allodentatus","Pseudoescorpião","Cerrado"
"Fauna","Invertebrados Terrestres","Bochicidae","Spelaeobochica iuiu","Pseudoescorpião","Cerrado"
"Fauna","Invertebrados Terrestres","Bochicidae","Spelaeobochica muchmorei","Pseudoescorpião","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Chernetidae","Spelaeochernes gracilipalpus","Pseudoescorpião","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Ochyroceratidae","Speocera eleonorae","Desconhecido","Pantanal"
"Fauna","Mamíferos","Canidae","Speothos venaticus","Cachorro-vinagre","Amazônia"
"Fauna","Mamíferos","Canidae","Speothos venaticus","Cachorro-vinagre","Cerrado"
"Fauna","Mamíferos","Canidae","Speothos venaticus","Cachorro-vinagre","Mata Atlântica"
"Fauna","Mamíferos","Canidae","Speothos venaticus","Cachorro-vinagre","Pantanal"
"Flora","Angiospermas","Gesneriaceae","Sphaerorrhiza burchellii","-","Cerrado"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna lewini","Tubarão-martelo","Marinho"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna media","Tubarão-martelo-de-aba-curta","Marinho"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna mokarran","Tubarão-martelo-grande","Marinho"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna tiburo","Tubarão-martelo","Marinho"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna tudes","Tubarão-martelo","Marinho"
"Fauna","Peixes Marinhos","Sphyrnidae","Sphyrna zygaena","Tubarão-martelo-liso","Marinho"
"Flora","Angiospermas","Loganiaceae","Spigelia aceifolia","-","Cerrado"
"Flora","Angiospermas","Loganiaceae","Spigelia amplexicaulis","-","Mata Atlântica"
"Flora","Angiospermas","Loganiaceae","Spigelia cipoensis","-","Cerrado"
"Flora","Angiospermas","Loganiaceae","Spigelia flava","-","Caatinga"
"Flora","Angiospermas","Loganiaceae","Spigelia flava","-","Cerrado"
"Flora","Angiospermas","Loganiaceae","Spigelia kuhlmannii","-","Caatinga"
"Flora","Angiospermas","Loganiaceae","Spigelia lundiana","-","Cerrado"
"Flora","Angiospermas","Loganiaceae","Spigelia lundiana","-","Mata Atlântica"
"Flora","Angiospermas","Loganiaceae","Spigelia reitzii","-","Mata Atlântica"
