"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Fauna","Répteis","Dipsadidae","Echinanthera cephalomaculata","Desconhecido","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Echinocoryne echinocephala","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Echinopsis calochlora","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Cactaceae","Echinopsis oxygona","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Eduandrea selloana","-","Em Perigo (EN)"
"Fauna","Peixes Continentais","Sternopygidae","Eigenmannia vicentespelaea","Ituí","Vulnerável (VU)"
"Flora","Angiospermas","Amaryllidaceae","Eithea blumenavia","-","Em Perigo (EN)"
"Fauna","Peixes Marinhos","Gobiidae","Elacatinus figaro","Neon","Vulnerável (VU)"
"Fauna","Aves","Tyrannidae","Elaenia ridleyana","Cocoruta","Vulnerável (VU)"
"Flora","Pteridófitas","Dryopteridaceae","Elaphoglossum acrocarpum","-","Vulnerável (VU)"
"Flora","Pteridófitas","Dryopteridaceae","Elaphoglossum amplissimum","-","Em Perigo (EN)"
"Flora","Pteridófitas","Dryopteridaceae","Elaphoglossum beckeri","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Libellulidae","Elasmothemis schubarti","Libélula","Em Perigo (EN)"
"Fauna","Aves","Rhinocryptidae","Eleoscytalopus psychopompus","Macuquinho-baiano","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Encholirium biflorum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Encholirium disjunctum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Encholirium gracile","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Encholirium heloisae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Encholirium horridum","-","Em Perigo (EN)"
