"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Fauna","Invertebrados Terrestres","Libellulidae","Macrothemis tessellata","Libélula","RJ"
"Fauna","Invertebrados Terrestres","Libellulidae","Macrothemis tessellata","Libélula","SP"
"Flora","Angiospermas","Orobanchaceae","Magdalenaea limae","-","RJ"
"Fauna","Invertebrados Terrestres","Lycaenidae","Magnastigma julia","Borboleta","DF"
"Fauna","Invertebrados Terrestres","Lycaenidae","Magnastigma julia","Borboleta","GO"
"Fauna","Invertebrados Terrestres","Lycaenidae","Magnastigma julia","Borboleta","MG"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","AP"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","AL"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","BA"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","CE"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","ES"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","MA"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","PA"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","PB"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","PE"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","PI"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","PR"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","RN"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","RJ"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","RS"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","SE"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","SC"
"Fauna","Peixes Marinhos","Istiophoridae","Makaira nigricans","Marlin-azul","SP"
"Fauna","Peixes Marinhos","Labrisomidae","Malacoctenus brunoi","Desconhecido","ES"
"Flora","Angiospermas","Orchidaceae","Malaxis jaraguae","-","SC"
"Flora","Angiospermas","Orchidaceae","Malaxis jaraguae","-","SP"
"Flora","Angiospermas","Rubiaceae","Manettia campanulacea","-","MG"
"Flora","Angiospermas","Rubiaceae","Manettia campanulacea","-","SP"
"Flora","Angiospermas","Rubiaceae","Manettia pauciflora","-","RJ"
"Flora","Angiospermas","Rubiaceae","Manettia pauciflora","-","SP"
"Flora","Angiospermas","Euphorbiaceae","Manihot procumbens","-","MG"
"Flora","Angiospermas","Euphorbiaceae","Manihot procumbens","-","SP"
"Flora","Angiospermas","Sapotaceae","Manilkara dardanoi","maçaranduba","BA"
"Flora","Angiospermas","Sapotaceae","Manilkara dardanoi","maçaranduba","PE"
"Flora","Angiospermas","Sapotaceae","Manilkara dardanoi","maçaranduba","PI"
"Flora","Angiospermas","Sapotaceae","Manilkara decrescens","-","BA"
"Flora","Angiospermas","Sapotaceae","Manilkara maxima","maçaranduba vermelha","BA"
"Flora","Angiospermas","Sapotaceae","Manilkara multifida","-","BA"
"Fauna","Peixes Marinhos","Mobulidae","Manta birostris","Raia-manta","BA"
"Fauna","Peixes Marinhos","Mobulidae","Manta birostris","Raia-manta","ES"
"Fauna","Peixes Marinhos","Mobulidae","Manta birostris","Raia-manta","PE"
"Fauna","Peixes Marinhos","Mobulidae","Manta birostris","Raia-manta","RS"
"Fauna","Peixes Marinhos","Mobulidae","Manta birostris","Raia-manta","SC"
"Flora","Angiospermas","Marantaceae","Maranta subterranea","-","BA"
"Flora","Angiospermas","Marantaceae","Maranta subterranea","-","ES"
"Flora","Angiospermas","Marantaceae","Maranta subterranea","-","RJ"
"Fauna","Peixes Continentais","Rivulidae","Maratecoara formosa","Peixe-da-chuva","TO"
"Fauna","Peixes Continentais","Rivulidae","Maratecoara splendida","Desconhecido","TO"
"Flora","Angiospermas","Melastomataceae","Marcetia alba","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia bahiana","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia formosa","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia hatschbachii","-","MG"
"Flora","Angiospermas","Melastomataceae","Marcetia luetzelburgii","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia lychnophoroides","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia nummularia","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia oxycoccoides","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia semiriana","-","MG"
"Flora","Angiospermas","Melastomataceae","Marcetia shepherdii","-","BA"
"Flora","Angiospermas","Melastomataceae","Marcetia viscida","-","BA"
"Flora","Briófitas","Marchantiaceae","Marchantia berteroana","-","MG"
"Flora","Briófitas","Marchantiaceae","Marchantia berteroana","-","RJ"
"Flora","Briófitas","Marchantiaceae","Marchantia berteroana","-","RS"
"Flora","Angiospermas","Myrtaceae","Marlierea krapovickae","-","SC"
"Flora","Angiospermas","Myrtaceae","Marlierea lealcostae","-","BA"
"Flora","Angiospermas","Myrtaceae","Marlierea skortzoviana","-","SP"
"Fauna","Mamíferos","Didelphidae","Marmosops paulensis","Cuíca","ES"
"Fauna","Mamíferos","Didelphidae","Marmosops paulensis","Cuíca","MG"
"Fauna","Mamíferos","Didelphidae","Marmosops paulensis","Cuíca","PR"
"Fauna","Mamíferos","Didelphidae","Marmosops paulensis","Cuíca","RJ"
"Fauna","Mamíferos","Didelphidae","Marmosops paulensis","Cuíca","SP"
"Flora","Angiospermas","Apocynaceae","Marsdenia otoniensis","-","MG"
"Flora","Angiospermas","Apocynaceae","Marsdenia queirozii","-","BA"
"Flora","Angiospermas","Lamiaceae","Martianthus sancti-gabrielii","-","BA"
"Flora","Angiospermas","Orchidaceae","Masdevallia discoidea","-","ES"
"Fauna","Invertebrados Terrestres","Salticidae","Matagaia chromatopus","Aranha-papa-mosca","PE"
"Flora","Angiospermas","Apocynaceae","Matelea bahiensis","-","BA"
"Flora","Angiospermas","Apocynaceae","Matelea bahiensis","-","ES"
"Flora","Angiospermas","Apocynaceae","Matelea glaziovii","-","MG"
"Flora","Angiospermas","Apocynaceae","Matelea glaziovii","-","PR"
"Flora","Angiospermas","Apocynaceae","Matelea glaziovii","-","RJ"
"Flora","Angiospermas","Apocynaceae","Matelea glaziovii","-","SP"
"Flora","Angiospermas","Apocynaceae","Matelea hatschbachii","-","PR"
"Flora","Angiospermas","Apocynaceae","Matelea marcoassisii","-","RJ"
"Flora","Angiospermas","Apocynaceae","Matelea marcoassisii","-","SP"
"Flora","Angiospermas","Apocynaceae","Matelea santosii","-","BA"
"Fauna","Invertebrados Terrestres","Chernetidae","Maxchernes iporangae","Pseudoescorpião","SP"
"Flora","Angiospermas","Celastraceae","Maytenus acanthophylla","-","BA"
"Flora","Angiospermas","Celastraceae","Maytenus acanthophylla","-","MG"
"Flora","Angiospermas","Celastraceae","Maytenus basidentata","-","RJ"
"Flora","Angiospermas","Celastraceae","Maytenus quadrangulata","-","BA"
"Flora","Angiospermas","Celastraceae","Maytenus quadrangulata","-","ES"
"Flora","Angiospermas","Celastraceae","Maytenus rupestris","-","MG"
"Fauna","Mamíferos","Cervidae","Mazama bororo","Veado-bororó-de-são-paulo","PR"
"Fauna","Mamíferos","Cervidae","Mazama bororo","Veado-bororó-de-são-paulo","SP"
"Fauna","Mamíferos","Cervidae","Mazama nana","Veado-bororó-do-sul","MS"
"Fauna","Mamíferos","Cervidae","Mazama nana","Veado-bororó-do-sul","PR"
"Fauna","Mamíferos","Cervidae","Mazama nana","Veado-bororó-do-sul","RS"
"Fauna","Mamíferos","Cervidae","Mazama nana","Veado-bororó-do-sul","SC"
"Fauna","Mamíferos","Cervidae","Mazama nana","Veado-bororó-do-sul","SP"
"Fauna","Invertebrados Terrestres","Nymphalidae","Mcclungia cymo fallens","Asa-de-vidro","MG"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Mecistogaster pronoti","Libélula","ES"
"Flora","Angiospermas","Lamiaceae","Medusantha carvalhoi","-","BA"
"Fauna","Peixes Continentais","Apteronotidae","Megadontognathus kaitukaensis","Desconhecido","PA"
"Flora","Pteridófitas","Dryopteridaceae","Megalastrum wacketii","-","ES"
"Flora","Pteridófitas","Dryopteridaceae","Megalastrum wacketii","-","SP"
"Fauna","Invertebrados Terrestres","Megalobulimidae","Megalobulimus cardosoi","Aruá-do-mato","AL"
"Fauna","Invertebrados Terrestres","Megalobulimidae","Megalobulimus cardosoi","Aruá-do-mato","PE"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","AL"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","AP"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","BA"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","CE"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","MA"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","PA"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","PB"
"Fauna","Peixes Marinhos","Megalopidae","Megalops atlanticus","Amaripim","PE"
